mfg,makes,carlines,type,percent_content_USA_CAN,percent_content_other1,percent_content_other2,final_assembly1,final_assembly2,source_E1,source_E2,source_T1,source_T2,year,mfg_HQ,E_US,E_CA,T_US,T_CA,E_MX,T_MX,us_ca_shr,other1_shr,other1_who,other2_shr,other2_who,mx_shr,ell,add_plant,nafta_assembly,rem_shr,mx_shr_rem,mx_shr_rem_mn,stata_merge,mx_shr_con,mx_shr_lib,nafta_shr_lib,nafta_shr_con
Porsche AG,Porsche,911 Carrera 4 Cabriolet,PC,4%,70%G,,G,,G,,J(Manual),G(Auto),2015,DEU,false,false,false,false,false,false,4.0,70.0,G,,,,ROW,false,false,,,,,0,0.0,4.0,4.0
Porsche AG,Porsche,911 Carrera 4 GTS,PC,4%,70%G,,G,,G,,J(Manual),G(Auto),2015,DEU,false,false,false,false,false,false,4.0,70.0,G,,,,ROW,false,false,,,,,0,0.0,4.0,4.0
Porsche AG,Porsche,911 Carrera 4 GTS Cabriolet,PC,5%,73%G,,G,,G,,J(Manual),G(Auto),2015,DEU,false,false,false,false,false,false,5.0,73.0,G,,,,ROW,false,false,,,,,0,0.0,5.0,5.0
Porsche AG,Porsche,911 Carrera 4S,PC,4%,70%G,,G,,G,,J(Manual),G(Auto),2015,DEU,false,false,false,false,false,false,4.0,70.0,G,,,,ROW,false,false,,,,,0,0.0,4.0,4.0
Porsche AG,Porsche,911 Carrera 4S Cabriolet,PC,5%,73%G,,G,,G,,J(Manual),G(Auto),2015,DEU,false,false,false,false,false,false,5.0,73.0,G,,,,ROW,false,false,,,,,0,0.0,5.0,5.0
Porsche AG,Porsche,911 Carrera Cabriolet,PC,4%,68%G,,G,,G,,J(Manual),G(Auto),2015,DEU,false,false,false,false,false,false,4.0,68.0,G,,,,ROW,false,false,,,,,0,0.0,4.0,4.0
Porsche AG,Porsche,911 Carrera GTS,PC,5%,66%G,,G,,G,,J(Manual),G(Auto),2015,DEU,false,false,false,false,false,false,5.0,66.0,G,,,,ROW,false,false,,,,,0,0.0,5.0,5.0
Porsche AG,Porsche,911 Carrera GTS Cabriolet,PC,4%,72%G,,G,,G,,J(Manual),G(Auto),2015,DEU,false,false,false,false,false,false,4.0,72.0,G,,,,ROW,false,false,,,,,0,0.0,4.0,4.0
Porsche AG,Porsche,911 Carrera S,PC,5%,66%G,,G,,G,,J(Manual),G(Auto),2015,DEU,false,false,false,false,false,false,5.0,66.0,G,,,,ROW,false,false,,,,,0,0.0,5.0,5.0
Porsche AG,Porsche,911 Carrera S Cabriolet,PC,4%,72%G,,G,,G,,J(Manual),G(Auto),2015,DEU,false,false,false,false,false,false,4.0,72.0,G,,,,ROW,false,false,,,,,0,0.0,4.0,4.0
