mfg,makes,carlines,type,percent_content_USA_CAN,percent_content_other1,percent_content_other2,final_assembly1,final_assembly2,source_E1,source_E2,source_T1,source_T2,year
Jaguar LandRover,Jaguar,XJ Supersport,PC,1%,54% UK,30% G,UK,"",UK,"",G,"",2011
Jaguar LandRover,Jaguar,XJL Supersport,PC,1%,54% UK,30% G,UK,"",UK,"",G,"",2011
Jaguar LandRover,Jaguar,XK Convertible,PC,1%,69% UK,15% G,UK,"",UK,"",G,"",2011
Jaguar LandRover,Jaguar,XK Coupe,PC,1%,68% UK,16% G,UK,"",UK,"",G,"",2011
Jaguar LandRover,Jaguar,XKR Convertible,PC,1%,70% UK,15% G,UK,"",UK,"",G,"",2011
Jaguar LandRover,Jaguar,XKR Coupe,PC,1%,70% UK,15% G,UK,"",UK,"",G,"",2011
Jaguar LandRover,LandRover,LR2 I6,MPV,1%,63% UK,"",UK,"",UK,"",J,"",2011
Jaguar LandRover,LandRover,LR4 HSE,MPV,1%,72% UK,"",UK,"",UK,"",G,"",2011
Jaguar LandRover,LandRover,Range Rover HSE,MPV,1%,65% UK,18% G,UK,"",UK,"",G,"",2011
Jaguar LandRover,LandRover,"Range Rover Sport
Supercharged",MPV,1%,67% UK,16% G,UK,"",UK,"",G,"",2011
Jaguar LandRover,LandRover,Range Rover Sport HSE,MPV,1%,71% UK,"",UK,"",UK,"",G,"",2011
Jaguar LandRover,LandRover,"Range Rover
Supercharged",MPV,1%,67% UK,15% G,UK,"",UK,"",G,"",2011
Kia Motors Corp.,Kia,Forte TD,PC,5%,89% K,"",K,"",K,"",K,"",2011
Kia Motors Corp.,Kia,Optima TF,PC,4%,89% K,"",K,"",K,"",K,"",2011
Kia Motors Corp.,Kia,Rio BN,PC,4%,90% K,"",K,"",K,"",K,"",2011
Kia Motors Corp.,Kia,Sedona GB,MPV,8%,81% K,"",K,"",K,"",K,"",2011
Kia Motors Corp.,Kia,Sorento XMA,MPV,60%,40% K,"",US,"",US,"",US,"",2011
Kia Motors Corp.,Kia,Soul CS,MPV,3%,94% K,"",K,"",K,"",K,"",2011
Kia Motors Corp.,Kia,Sportage,MPV,1%,98% K,"",K,"",K,"",K,"",2011
Lotus,Lotus,Elise & Exige,PC,0%,63% UK,17% J,UK,"",J,"",J,"",2011
Lotus,Lotus,Elise & Exige SupCh,PC,0%,63% UK,14% J,UK,"",J,"",J,"",2011
Mahindra,Mahindra,TR-20 & TR-40,Truck,5%,65%,"",IN,"",IN,"",AU,"",2011
Mazda Motor Corp.,Mazda,2,PC,0%,99% J,"",J,"",J,"",J,"",2011
Mazda Motor Corp.,Mazda,3,PC,0%,95% J,"",J,"",J,"",J,"",2011
Mazda Motor Corp.,Mazda,6,PC,55%,35% J,"",US,"",J,"",J,"",2011
